section communale,Cultures,Saison 1,Saison2,Saison 3 et plus,total saison 1 ,total saison 2,moyenne 2 saisons,pc saison 1,pc saison 2,moyenne s1-s2,Pc moyenne,Total 2 saisons
921-06,Riz,0.95,0,0,1080.32,76.49,578.405,0.09%,0.00%,0.475,0.08%,0.95
922-01,Riz,0.1,0.49,0,950.23,554.63,752.43,0.01%,0.09%,0.295,0.04%,0.59
922-02,Riz,0.25,0.03,0,272.2,109.85,191.025,0.09%,0.03%,0.14,0.07%,0.28
922-03,Riz,0,0,0,170.26,33.33,101.795,0.00%,0.00%,0,0.00%,0
931-01,Riz,0.24,0.2,0,1479.61,786.3,1132.955,0.02%,0.03%,0.22,0.02%,0.44
931-02,Riz,0,0,0,1367.6,59.36,713.48,0.00%,0.00%,0,0.00%,0
931-03,Riz,0.25,0,0,487.65,231,359.325,0.05%,0.00%,0.125,0.03%,0.25
932-01,Riz,0.03,0,0,413.74,27.63,220.685,0.01%,0.00%,0.015,0.01%,0.03
932-02,Riz,0.09,0,0,508.07,54.18,281.125,0.02%,0.00%,0.045,0.02%,0.09
932-03,Riz,0.22,0.05,0,1917.64,835.33,1376.485,0.01%,0.01%,0.135,0.01%,0.27
932-04,Riz,0,0,0,538.88,64,301.44,0.00%,0.00%,0,0.00%,0
933-01,Riz,0.12,0.15,0,1875.94,1810.65,1843.295,0.01%,0.01%,0.135,0.01%,0.27
933-02,Riz,0.05,0.69,0,2481.88,950.78,1716.33,0.00%,0.07%,0.37,0.02%,0.74
933-03,Riz,0,0,0,2202.69,770.29,1486.49,0.00%,0.00%,0,0.00%,0
934-01,Riz,0.63,0,0,5793.8,5085,5439.4,0.01%,0.00%,0.315,0.01%,0.63
934-02,Riz,0,1.69,0,2462.72,1983.02,2222.87,0.00%,0.09%,0.845,0.04%,1.69
934-03,Riz,0.23,0.85,0.2,3565.35,1164.85,2365.1,0.01%,0.07%,0.54,0.02%,1.08
934-04,Riz,0.51,0.25,0,1473.07,1118.01,1295.54,0.03%,0.02%,0.38,0.03%,0.76
934-05,Riz,0.36,1.28,0,873.87,609.4,741.635,0.04%,0.21%,0.82,0.11%,1.64
934-06,Riz,0.43,2.86,0,1038.55,732.65,885.6,0.04%,0.39%,1.645,0.19%,3.29
934-07,Riz,0.2,0,0,1814.42,367.67,1091.045,0.01%,0.00%,0.1,0.000,0.2
1011-01,Riz,1.44,12.53,0.58,1191.31,941.41,1066.36,0.12%,1.33%,6.985,0.66%,13.97
1011-02,Riz,50.85,53.18,0.63,1976.43,1832.52,1904.475,2.57%,2.90%,52.015,2.73%,104.03
1011-03,Riz,0.03,0.36,0,1373.14,1262.66,1317.9,0.00%,0.03%,0.195,0.01%,0.39
1011-04,Riz,111.89,115.57,0,698.43,623.57,661,16.02%,18.53%,113.73,17.21%,227.46
1012-01,Riz,1.26,2.4,0,927.45,443.82,685.635,0.14%,0.54%,1.83,0.27%,3.66
1012-02,Riz,1.85,4.13,0,596.25,246.95,421.6,0.31%,1.67%,2.99,0.71%,5.98
1012-03,Riz,0.01,0.13,0,265.48,42.5,153.99,0.00%,0.31%,0.07,0.05%,0.14
1012-04,Riz,0,0.4,0,936.05,833.49,884.77,0.00%,0.05%,0.2,0.02%,0.4
1013-01,Riz,0.68,0,0,861.88,393.42,627.65,0.08%,0.00%,0.34,0.05%,0.68
1013-02,Riz,0.33,0.25,0,759.13,142.98,451.055,0.04%,0.17%,0.29,0.06%,0.58
1013-03,Riz,48.48,47.32,22.53,911.31,777.53,844.42,5.32%,6.09%,47.9,5.67%,95.8
1013-04,Riz,1.26,1.05,0.1,605.41,103.11,354.26,0.21%,1.02%,1.155,0.33%,2.31
1014-01,Riz,0.18,0.01,0,1309.33,178.16,743.745,0.01%,0.01%,0.095,0.01%,0.19
1014-02,Riz,0.08,0.25,0,874.75,84.03,479.39,0.01%,0.30%,0.165,0.03%,0.33
1021-01,Riz,0,0.12,0,706.78,284.31,495.545,0.00%,0.04%,0.06,0.01%,0.12
1021-02,Riz,3.95,0.54,0,720.01,226.5,473.255,0.55%,0.24%,2.245,0.47%,4.49
1021-03,Riz,17.06,15.65,0,952.08,60.09,506.085,1.79%,26.04%,16.355,3.23%,32.71
1022-01,Riz,0.1,0.25,0,981.88,136.85,559.365,0.01%,0.18%,0.175,0.03%,0.35
1022-02,Riz,0.28,0.05,0,1075.69,131.8,603.745,0.03%,0.04%,0.165,0.03%,0.33
1022-03,Riz,1.09,0,0,626.62,190.06,408.34,0.17%,0.00%,0.545,0.13%,1.09
1023-01,Riz,1.03,0.37,0,1134.98,530.42,832.7,0.09%,0.07%,0.7,0.08%,1.4
1023-02,Riz,0,0.75,0,519.65,145.53,332.59,0.00%,0.52%,0.375,0.11%,0.75
1023-03,Riz,0,0.69,0,1507.75,814.18,1160.965,0.00%,0.08%,0.345,0.03%,0.69
1023-04,Riz,0,1.44,0,969.93,769.15,869.54,0.00%,0.19%,0.72,0.08%,1.44
1024-01,Riz,0.01,0,0,751.98,0,375.99,0.00%,0.00%,0.005,0.00%,0.01
1024-02,Riz,3.83,1.49,0,1196.87,217.47,707.17,0.32%,0.69%,2.66,0.38%,5.32
1024-03,Riz,0,0,0,441.29,1.45,221.37,0.00%,0.00%,0,0.00%,0
1025-01,Riz,2.12,4.56,0,893.93,156.9,525.415,0.24%,2.91%,3.34,0.64%,6.68
1025-02,Riz,0.01,0,0,549.61,81.49,315.55,0.00%,0.00%,0.005,0.00%,0.01
1025-03,Riz,0,0,0,1064.09,15.05,539.57,0.00%,0.00%,0,0.00%,0
1031-01,Riz,5.52,5.08,0,807.31,108.52,457.915,0.68%,4.68%,5.3,1.16%,10.6
1031-02,Riz,0.5,0,0,412.11,0,206.055,0.12%,0.00%,0.25,0.12%,0.5
1031-03,Riz,0.44,0.6,0,1573.93,90.51,832.22,0.03%,0.66%,0.52,0.06%,1.04
1031-04,Riz,100.87,0.48,0,1275.07,6.69,640.88,7.91%,7.17%,50.675,7.91%,101.35
1031-05,Riz,29,19.86,0,1564.19,48.98,806.585,1.85%,40.55%,24.43,3.03%,48.86
1032-01,Riz,0,0,0,79.18,0,39.59,0.00%,0.00%,0,0.00%,0
1032-02,Riz,0,0,0,113.87,0,56.935,0.00%,0.00%,0,0.00%,a
