section communale,Cultures,Saison 1,Saison2,Saison 3 et plus,total saison 1 ,total saison 2,moyenne 2 saisons,pc saison 1,pc saison 2,moyenne s1-s2,Pc moyenne,Total 2 saisons
621-01,Riz,14.03,20.3,0.5,2216.34,532.99,1374.665,0.63%,3.81%,17.165,1.25%,34.33
621-02,Riz,116.65,23.48,0.5,3926.61,345.1,2135.855,2.97%,6.80%,70.065,3.28%,140.13
621-03,Riz,27.88,0.25,0,3771.68,25.32,1898.5,0.74%,0.99%,14.065,0.74%,28.13
621-04,Riz,5.83,0.99,0,2952.22,61.07,1506.645,0.20%,1.62%,3.41,0.23%,6.82
622-01,Riz,0.64,0.25,0,1263.08,13.71,638.395,0.05%,1.82%,0.445,0.07%,0.89
622-02,Riz,15.49,3.15,0,1407.88,105.23,756.555,1.10%,2.99%,9.32,1.23%,18.64
622-03,Riz,92.34,22.13,0,1309.53,124.57,717.05,7.05%,17.77%,57.235,7.98%,114.47
622-04,Riz,13.81,12.26,15.02,4784.47,2248.95,3516.71,0.29%,0.55%,13.035,0.37%,26.07
623-01,Riz,4.48,0.7,0,2663.28,129.43,1396.355,0.17%,0.54%,2.59,0.19%,5.18
623-02,Riz,19.24,7.91,0,2314.82,79.36,1197.09,0.83%,9.97%,13.575,1.13%,27.15
623-03,Riz,2.05,7.71,0,3591.6,90.14,1840.87,0.06%,8.55%,4.88,0.27%,9.76
631-01,Riz,0.94,4.96,0,3152.82,300.57,1726.695,0.03%,1.65%,2.95,0.17%,5.9
631-02,Riz,49.09,15.56,0.49,4276.09,1231.38,2753.735,1.15%,1.26%,32.325,1.17%,64.65
632-01,Riz,2.28,3.75,0,5299.77,1860.77,3580.27,0.04%,0.20%,3.015,0.08%,6.03
632-02,Riz,14.88,1.46,0,3269.38,877.77,2073.575,0.46%,0.17%,8.17,0.39%,16.34
632-03,Riz,3.04,5.09,0,2445.32,789.64,1617.48,0.12%,0.64%,4.065,0.25%,8.13
633-01,Riz,0.6,49.5,3.82,2056.06,80.41,1068.235,0.03%,61.56%,25.05,2.34%,50.1
633-02,Riz,0,0.5,23.4,4856.33,43.69,2450.01,0.00%,1.14%,0.25,0.01%,0.5
641-01,Riz,8,142.4,3.95,8462.22,4759.71,6610.965,0.09%,2.99%,75.2,1.14%,150.4
641-02,Riz,4.79,0.55,0,5304.8,1449.54,3377.17,0.09%,0.04%,2.67,0.08%,5.34
641-03,Riz,243.37,47.86,0,5908.78,5384.5,5646.64,4.12%,0.89%,145.615,2.58%,291.23
642-01,Riz,0.92,3.13,0,4038.19,3605.97,3822.08,0.02%,0.09%,2.025,0.05%,4.05
642-02,Riz,0.74,1.55,0,7761.17,7396.56,7578.865,0.01%,0.02%,1.145,0.02%,2.29
711-01,Riz,313.52,299.26,154.09,848.15,477.71,662.93,36.97%,62.64%,306.39,46.22%,612.78
711-02,Riz,17.01,11.58,0.6,1974.71,540.41,1257.56,0.86%,2.14%,14.295,1.14%,28.59
711-03,Riz,15.85,10.92,0,1172.13,924.28,1048.205,1.35%,1.18%,13.385,1.28%,26.77
711-04,Riz,159.49,157.03,0,1518.23,905.83,1212.03,10.50%,17.34%,158.26,13.06%,316.52
711-05,Riz,0,0,0,807.37,650.5,728.935,0.00%,0.00%,0,0.00%,0
711-06,Riz,1.16,0.06,0,752.6,221.05,486.825,0.15%,0.03%,0.61,0.13%,1.22
712-01,Riz,176.17,152.78,2.13,757.49,357.02,557.255,23.26%,42.79%,164.475,29.52%,328.95
712-02,Riz,23.18,20,0.56,1011.4,339.65,675.525,2.29%,5.89%,21.59,3.20%,43.18
712-03,Riz,7.25,2.42,0,316.42,101.17,208.795,2.29%,2.39%,4.835,2.32%,9.67
712-04,Riz,0.03,0,0,696.63,316.9,506.765,0.00%,0.00%,0.015,0.00%,0.03
713-01,Riz,27.47,23.45,0,814.79,248.12,531.455,3.37%,9.45%,25.46,4.79%,50.92
713-02,Riz,7.56,27.96,0,1033.69,721.17,877.43,0.73%,3.88%,17.76,2.02%,35.52
713-03,Riz,0,0.37,0,2756.63,325.06,1540.845,0.00%,0.11%,0.185,0.01%,0.37
714-01,Riz,1.68,0.72,0,460.9,249.36,355.13,0.36%,0.29%,1.2,0.34%,2.4
714-02,Riz,0,0,0,628.53,271.07,449.8,0.00%,0.00%,0,0.00%,0
714-03,Riz,0.27,0.06,0.06,314.84,93.6,204.22,0.09%,0.06%,0.165,0.08%,0.33
715-01,Riz,4.02,2.62,0,695.49,127.24,411.365,0.58%,2.06%,3.32,0.81%,6.64
715-02,Riz,2.25,0.21,0,794.24,71.24,432.74,0.28%,0.29%,1.23,0.28%,2.46
715-03,Riz,4.81,38.28,0,924.14,163.52,543.83,0.52%,23.41%,21.545,3.96%,43.09
716-01,Riz,0.25,0,0,1908.81,327.96,1118.385,0.01%,0.00%,0.125,0.01%,0.25
721-01,Riz,0.24,0,0,1044.96,801.81,923.385,0.02%,0.00%,0.12,0.01%,0.24
721-02,Riz,0.13,0.18,0,590.5,564.12,577.31,0.02%,0.03%,0.155,0.03%,0.31
722-01,Riz,0.25,0,0,830.75,625,727.875,0.03%,0.00%,0.125,0.02%,0.25
722-02,Riz,0,0.08,0,1038.6,730.6,884.6,0.00%,0.01%,0.04,0.00%,0.08
722-03,Riz,20.13,9.34,0,739.76,518.6,629.18,2.72%,1.80%,14.735,2.34%,29.47
723-01,Riz,1.37,0.82,0,397.37,235.35,316.36,0.34%,0.35%,1.095,0.35%,2.19
723-02,Riz,6.61,1.69,0.06,1179.25,710.99,945.12,0.56%,0.24%,4.15,0.44%,8.3
723-03,Riz,1.19,1.08,0,553.42,424.84,489.13,0.22%,0.25%,1.135,0.23%,2.27
731-01,Riz,17.57,17.14,0.07,793.4,652.05,722.725,2.21%,2.63%,17.355,2.40%,34.71
731-02,Riz,0,0,0,313.7,223.3,268.5,0.00%,0.00%,0,0.00%,0
731-03,Riz,0,0,0,353.92,34.37,194.145,0.00%,0.00%,0,0.00%,0
731-04,Riz,0.54,0.75,0,1364.68,819.57,1092.125,0.04%,0.09%,0.645,0.06%,1.29
731-05,Riz,0.28,0.1,0,433.04,276.14,354.59,0.06%,0.04%,0.19,0.05%,0.38
731-06,Riz,0.33,0.3,0,1225.95,972.28,1099.115,0.03%,0.03%,0.315,0.03%,0.63
731-07,Riz,0.45,0,0,1165.35,829.63,997.49,0.04%,0.00%,0.225,0.02%,0.45
731-08,Riz,0,6.87,0,786.42,389.28,587.85,0.00%,1.76%,3.435,0.58%,6.87
731-09,Riz,0,0,0,417.64,329.7,373.67,0.00%,0.00%,0,0.00%,0
731-10,Riz,1.1,52.77,0,658.28,571.91,615.095,0.17%,9.23%,26.935,4.38%,53.87
732-01,Riz,0.38,0.38,0,510.38,352.92,431.65,0.07%,0.11%,0.38,0.09%,0.76
732-02,Riz,44.56,29.52,1.64,1323.53,704.23,1013.88,3.37%,4.19%,37.04,3.65%,74.08
