 id_culture ,,      jeune       ,    productif     ,tot_arb,vrai,carreau,densit� ha,densit� ca,carre trouv�,legumes,
 C67        , Grenadia(fruit de passion),3643,138570.989999992,142213.989999992,,20.985,,0,#DIV/0!,,
 C68        , Autres fruits à pépins et à noyau(Grenadine Grenade...),3145,95570,98715,,4.505,,0,#DIV/0!,,
 C69        , Amandes,31608.9999999948,191348.069999965,222957.06999996,,9.21,,0,#DIV/0!,,
 C7         , Pois inconnu,589,3010,3599,,13231.1168999952,40000,30800,0.1168506494,,
 C70        , Noix de cajou(Anacardier),234322.99999997,554681.979999999,789004.979999969,,40.32,,0,#DIV/0!,,
 C71        , Autres Noix,5511,153390.999999992,158901.999999992,,21.6199999999,,0,#DIV/0!,,
 C72        , Arachides,2810.999999996,15637.999999994,18448.99999999,,19454.7097999963,,0,#DIV/0!,,
 C73        , Cocotiers,265165.999999992,6648924.64999963,6914090.64999962,,255.81985,,0,#DIV/0!,,
 C74        , Autres cultures oléagineux(Tournessol palmier à huile roroli),1417400.82999994,727075.9999992,2144476.82999914,,345.255,,0,#DIV/0!,,
 C75        , Café,524403,10203645.1499998,10728048.1499998,,7418.7399999999,1300,1001,10717.3308191806,,
 C76        , Cacao,36736,2848890.93,2885626.93,,1925.105,,0,#DIV/0!,,
 C77        , Autres cultures pour boissons,1038,2586,3624,,4.255,,0,#DIV/0!,,
 C78        , Piments(capsicum spp.),7511.02,24748.9999999996,32260.0199999996,,1517.695949998,20000,15400,2.0948064935,,
 C79        , Gingembre,669,6401,7070,,326.49,,0,#DIV/0!,,
 C8         , Autres cultures légumineuses(Pois tendre pois France),4865.9999999999,4323,9188.9999999999,,2334.565,40000,30800,0.2983441558,,
 C80        , Autres épices(Poivres...),4822,7758,12580,,26.74,,0,#DIV/0!,,
 C81        , Canne à sucre,136541,4233766.8299999,4370307.8299999,,12317.1347998233,,0,#DIV/0!,,
 C82        , Floriculture-culture,14695,8392,23087,,27.36,,0,#DIV/0!,,
 C83        , Pépinières plantes ornementales,4058,1177,5235,,4.66,,0,#DIV/0!,,
 C84        , Pépinières pour culture,8886,8374,17260,,18.6192,,0,#DIV/0!,,
 C85        , Thym,308,5561,5869,,174.385,,0,#DIV/0!,,
 C86        , Vétiver,10342.9999999999,25737,36079.9999999999,,363.085,,0,#DIV/0!,,
 C87        , Autres cultures médicinalesaromatiques(Citronnelle Basilic menthe),18161.24,7588.05,25749.29,,9.95,,0,#DIV/0!,,
 C88        , Cultures Herbacées et autres cultures fourragères,16980,7733,24713,,87.295,,0,#DIV/0!,,
 C89        , Cultures Textiles (Sisalcoton...),41033.9999999985,18505.9999999998,59539.9999999983,,73.69,,0,#DIV/0!,,
 C9         , Choux,1772,3124.9999999997,4896.9999999997,,2724.64325,10000,7700,0.635974026,,
 C90        , Roseaux,18989.0499999999,9865.999999993,28855.0499999929,,20.55,,0,#DIV/0!,,
 C91        , Tabac,1578,8707,10285,,539.0149999997,,0,#DIV/0!,,
 C92        , Autres Cultures(Roucou....),6067.95,27364,33431.95,,14.495,,0,#DIV/0!,,
 C93        , Jachères temporaires,1592.02,1921,3513.02,,1831.2914499997,,0,#DIV/0!,,
 C94        , Jachères permanentes,552,1062,1614,,11973.4504499941,,0,#DIV/0!,,
 C95        , Bâtiments,2041,6602.01,8643.01,,3908.1429499985,,0,#DIV/0!,,
 C96        , Terrains incultes,1031,604,1635,,82.42,,0,#DIV/0!,,
 C97        , Retenue d'eau,1396,264,1660,,21.385,,0,#DIV/0!,,
 C98        , Forêt,16965956.0599966,702629.769999952,17668585.8299966,,2069.396149999,,0,#DIV/0!,,
 C99        , Non renseigné,3684,809,4493,,4.98,,0,#DIV/0!,,
            ,,24499196,120297364,144796560,,,,0,#DIV/0!,,
(101 rows),,,,,,,,,,,
